topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,0.32,1,1,278792.58
nx-sc-sq,0.16,0.16,0.16,71856.76
nx-sc-sq,1,0.32,0.64,160393.57
nx-sc-sq,0.64,1,1,603815.88
nx-sc-sq,0.32,1,0.64,235614.69
nx-sc-sq,0.64,1,0.64,429572.03
nx-sc-sq,1,0.64,0.16,183685.67
nx-sc-sq,0.32,0.16,1,73251.71
nx-sc-sq,0.16,0.32,0.64,131930.39
nx-sc-sq,0.32,0.32,0.32,159367.34
nx-sc-sq,1,0.64,0.64,351852.52
nx-sc-sq,0.16,1,0.16,145026.87
nx-sc-sq,0.64,0.64,1,336133.88
nx-sc-sq,1,1,0.64,451066.07
nx-sc-sq,0.64,0.64,1,340146.85
nx-sc-sq,0.32,0.32,0.16,158223.43
nx-sc-sq,0.64,1,0.32,396182.13
nx-sc-sq,0.64,0.64,0.32,333824.9
nx-sc-sq,0.32,1,0.64,280814.92
nx-sc-sq,1,1,0.16,182526.1
nx-sc-sq,0.16,0.16,0.16,73570.38
nx-sc-sq,0.64,1,1,381415.82
nx-sc-sq,0.16,0.32,0.64,144104.48
nx-sc-sq,0.32,0.64,0.32,306956.92
nx-sc-sq,0.64,0.32,1,161091.16
nx-sc-sq,0.32,1,0.16,179437.05
nx-sc-sq,0.16,0.64,1,126735.18
nx-sc-sq,0.64,0.16,1,71438.85
nx-sc-sq,1,0.32,0.32,160105.19
nx-sc-sq,0.16,0.16,1,72432.45
nx-sc-sq,1,0.32,0.16,155044.06
nx-sc-sq,0.16,0.64,0.16,136906.13
nx-sc-sq,0.16,1,0.16,133861.6
nx-sc-sq,0.64,0.32,0.64,161862.55
nx-sc-sq,1,1,0.16,187330.64
nx-sc-sq,0.32,1,0.64,288919.87
nx-sc-sq,0.64,1,0.64,436280.75
nx-sc-sq,0.32,0.16,0.64,68891.72
nx-sc-sq,0.16,0.64,0.64,134051.94
nx-sc-sq,0.64,0.32,0.32,162393.39
nx-sc-sq,0.64,1,1,422717.05
nx-sc-sq,0.64,1,0.32,398859.16
nx-sc-sq,0.16,0.32,1,124678.77
nx-sc-sq,1,0.64,0.64,339303.67
